student_id,standard,item,skill,correct
S01,Solve one-variable linear equations,1,inverse operations,1
S01,Solve one-variable linear equations,2,two-step equations,0
S01,Solve one-variable linear equations,3,division equations,0
S02,Solve one-variable linear equations,1,inverse operations,1
S02,Solve one-variable linear equations,2,two-step equations,1
S02,Solve one-variable linear equations,3,division equations,0
S03,Solve one-variable linear equations,1,inverse operations,0
S03,Solve one-variable linear equations,2,two-step equations,0
S03,Solve one-variable linear equations,3,division equations,0
S04,Solve one-variable linear equations,1,inverse operations,1
S04,Solve one-variable linear equations,2,two-step equations,0
S04,Solve one-variable linear equations,3,division equations,0
S05,Solve one-variable linear equations,1,inverse operations,1
S05,Solve one-variable linear equations,2,two-step equations,1
S05,Solve one-variable linear equations,3,division equations,1
S06,Solve one-variable linear equations,1,inverse operations,0
S06,Solve one-variable linear equations,2,two-step equations,0
S06,Solve one-variable linear equations,3,division equations,0
S07,Solve one-variable linear equations,1,inverse operations,1
S07,Solve one-variable linear equations,2,two-step equations,0
S07,Solve one-variable linear equations,3,division equations,0
S08,Solve one-variable linear equations,1,inverse operations,1
S08,Solve one-variable linear equations,2,two-step equations,1
S08,Solve one-variable linear equations,3,division equations,0
S09,Solve one-variable linear equations,1,inverse operations,0
S09,Solve one-variable linear equations,2,two-step equations,0
S09,Solve one-variable linear equations,3,division equations,0
S10,Solve one-variable linear equations,1,inverse operations,1
S10,Solve one-variable linear equations,2,two-step equations,0
S10,Solve one-variable linear equations,3,division equations,0
